"species","island","sex","year","bill_length_mm"
"Adelie","Torgersen","male",2007,39.1
"Adelie","Torgersen","female",2007,39.5
"Adelie","Torgersen","female",2007,40.3
"Adelie","Torgersen","female",2007,36.7
"Adelie","Torgersen","male",2007,39.3
"Adelie","Torgersen","female",2007,38.9
"Adelie","Torgersen","male",2007,39.2
"Adelie","Torgersen","female",2007,41.1
"Adelie","Torgersen","male",2007,38.6
"Adelie","Torgersen","male",2007,34.6
"Adelie","Torgersen","female",2007,36.6
"Adelie","Torgersen","female",2007,38.7
"Adelie","Torgersen","male",2007,42.5
"Adelie","Torgersen","female",2007,34.4
"Adelie","Torgersen","male",2007,46
"Adelie","Biscoe","female",2007,37.8
"Adelie","Biscoe","male",2007,37.7
"Adelie","Biscoe","female",2007,35.9
"Adelie","Biscoe","male",2007,38.2
"Adelie","Biscoe","male",2007,38.8
"Adelie","Biscoe","female",2007,35.3
"Adelie","Biscoe","male",2007,40.6
"Adelie","Biscoe","female",2007,40.5
"Adelie","Biscoe","female",2007,37.9
"Adelie","Biscoe","male",2007,40.5
"Adelie","Dream","female",2007,39.5
"Adelie","Dream","male",2007,37.2
"Adelie","Dream","female",2007,39.5
"Adelie","Dream","male",2007,40.9
"Adelie","Dream","female",2007,36.4
"Adelie","Dream","male",2007,39.2
"Adelie","Dream","male",2007,38.8
"Adelie","Dream","female",2007,42.2
"Adelie","Dream","female",2007,37.6
"Adelie","Dream","male",2007,39.8
"Adelie","Dream","female",2007,36.5
"Adelie","Dream","male",2007,40.8
"Adelie","Dream","female",2007,36
"Adelie","Dream","male",2007,44.1
"Adelie","Dream","female",2007,37
"Adelie","Dream","male",2007,39.6
"Adelie","Dream","male",2007,41.1
"Adelie","Dream","female",2007,36
"Adelie","Dream","male",2007,42.3
"Adelie","Biscoe","female",2008,39.6
"Adelie","Biscoe","male",2008,40.1
"Adelie","Biscoe","female",2008,35
"Adelie","Biscoe","male",2008,42
"Adelie","Biscoe","female",2008,34.5
"Adelie","Biscoe","male",2008,41.4
"Adelie","Biscoe","female",2008,39
"Adelie","Biscoe","male",2008,40.6
"Adelie","Biscoe","female",2008,36.5
"Adelie","Biscoe","male",2008,37.6
"Adelie","Biscoe","female",2008,35.7
"Adelie","Biscoe","male",2008,41.3
"Adelie","Biscoe","female",2008,37.6
"Adelie","Biscoe","male",2008,41.1
"Adelie","Biscoe","female",2008,36.4
"Adelie","Biscoe","male",2008,41.6
"Adelie","Biscoe","female",2008,35.5
"Adelie","Biscoe","male",2008,41.1
"Adelie","Torgersen","female",2008,35.9
"Adelie","Torgersen","male",2008,41.8
"Adelie","Torgersen","female",2008,33.5
"Adelie","Torgersen","male",2008,39.7
"Adelie","Torgersen","female",2008,39.6
"Adelie","Torgersen","male",2008,45.8
"Adelie","Torgersen","female",2008,35.5
"Adelie","Torgersen","male",2008,42.8
"Adelie","Torgersen","female",2008,40.9
"Adelie","Torgersen","male",2008,37.2
"Adelie","Torgersen","female",2008,36.2
"Adelie","Torgersen","male",2008,42.1
"Adelie","Torgersen","female",2008,34.6
"Adelie","Torgersen","male",2008,42.9
"Adelie","Torgersen","female",2008,36.7
"Adelie","Torgersen","male",2008,35.1
"Adelie","Dream","female",2008,37.3
"Adelie","Dream","male",2008,41.3
"Adelie","Dream","male",2008,36.3
"Adelie","Dream","female",2008,36.9
"Adelie","Dream","male",2008,38.3
